N,P,K,pH,EC,soil_temp_C,soil_moisture,crop,growth_stage,recommended_fertilizer
58,22,49,7.24,1.05,31,31,soybean,maturity,NPK 12-32-16
48,26,16,6.57,1.06,22,50,sugarcane,maturity,NPK 12-32-16
34,32,29,7.0,1.24,22,28,sugarcane,vegetative,NPK 19-19-19
62,17,27,5.78,0.77,23,26,groundnut,flowering,NPK 10-26-26
27,30,19,6.2,0.85,35,48,wheat,flowering,NPK 14-35-14
40,11,36,6.28,1.37,39,33,wheat,maturity,MOP
58,14,43,6.52,0.81,35,39,groundnut,maturity,MOP
38,15,37,7.36,1.05,36,51,wheat,flowering,NPK 14-35-14
42,21,33,7.25,1.2,19,41,soybean,flowering,NPK 14-35-14
30,27,42,5.77,1.5,34,55,rice,flowering,NPK 14-35-14
30,31,21,5.85,0.94,18,37,wheat,maturity,NPK 12-32-16
43,31,23,6.22,0.93,26,59,soybean,maturity,MOP
55,10,39,6.08,1.34,30,44,maize,flowering,NPK 10-26-26
59,26,17,6.73,1.31,21,50,rice,flowering,NPK 14-35-14
43,20,31,7.31,1.23,22,54,groundnut,vegetative,Single Super Phosphate
22,19,16,7.42,0.96,35,45,maize,maturity,NPK 12-32-16
41,28,34,6.81,0.82,27,23,sugarcane,vegetative,Urea
21,23,20,7.18,1.11,21,39,sugarcane,flowering,NPK 10-26-26
43,19,40,6.55,1.38,30,53,rice,maturity,MOP
63,24,27,5.92,1.38,30,31,wheat,maturity,NPK 12-32-16
49,28,33,6.55,0.61,34,35,rice,vegetative,Urea
57,13,19,6.61,0.93,25,24,wheat,vegetative,Single Super Phosphate
21,11,31,6.98,0.96,21,54,groundnut,vegetative,Single Super Phosphate
40,18,25,5.94,1.48,20,46,sugarcane,vegetative,Urea
52,19,48,6.24,1.18,28,20,rice,maturity,MOP
31,20,45,6.23,0.91,29,53,rice,flowering,NPK 14-35-14
41,23,22,7.42,0.53,26,51,groundnut,flowering,DAP
63,16,44,6.39,1.07,32,58,wheat,flowering,NPK 14-35-14
44,32,42,7.01,0.6,30,52,sugarcane,vegetative,NPK 19-19-19
68,24,45,7.0,1.33,22,50,sugarcane,flowering,NPK 14-35-14
46,31,18,6.03,1.25,22,32,wheat,vegetative,Urea
61,28,34,6.64,0.96,36,21,groundnut,vegetative,NPK 19-19-19
47,31,18,7.29,0.93,28,49,wheat,flowering,DAP
35,24,36,6.45,1.4,26,29,groundnut,flowering,NPK 14-35-14
34,33,14,7.39,0.79,20,42,wheat,flowering,DAP
66,17,49,5.93,0.75,35,52,sugarcane,maturity,MOP
63,20,31,5.65,1.44,30,58,sugarcane,vegetative,Urea
22,18,45,7.28,1.31,29,48,rice,maturity,NPK 12-32-16
56,24,41,7.2,1.32,26,49,groundnut,flowering,DAP
26,10,28,7.49,0.7,27,53,sugarcane,maturity,MOP
40,10,21,6.86,0.64,30,58,groundnut,maturity,NPK 12-32-16
28,28,46,7.37,0.53,37,36,groundnut,flowering,NPK 10-26-26
58,12,31,7.15,0.74,37,41,maize,flowering,NPK 14-35-14
37,19,29,7.19,1.27,30,24,maize,vegetative,NPK 19-19-19
23,17,38,6.64,0.74,39,30,wheat,vegetative,NPK 19-19-19
44,24,47,6.26,1.23,26,41,groundnut,maturity,NPK 12-32-16
33,19,34,7.37,0.75,27,51,wheat,flowering,NPK 10-26-26
69,10,43,6.36,0.9,36,43,wheat,vegetative,Single Super Phosphate
28,27,21,6.58,1.48,23,30,rice,vegetative,Single Super Phosphate
45,11,22,6.39,0.74,24,30,maize,maturity,NPK 12-32-16
21,28,49,6.63,0.88,32,36,maize,maturity,NPK 12-32-16
