timestamp,soil_moisture,soil_temp_C,soil_EC_dS_m,soil_pH,air_temp_C,rain_last_24h_mm,forecast_rain_24h_mm,crop_stage,root_zone_depth_m,field_capacity,wilting_point,root_zone_deficit_mm,IrrigateTomorrow
2025-01-01 00:00:00,0.24,26.86,0.71,6.82,26.1,1.1,2.7,maturity,0.6,0.32,0.14,48.1,0
2025-01-01 01:00:00,0.214,15.52,0.77,6.73,31.4,1.5,0.8,flowering,0.3,0.28,0.12,19.7,0
2025-01-01 02:00:00,0.246,16.06,0.61,6.63,21.5,2.0,0.3,maturity,0.6,0.32,0.14,44.5,0
2025-01-01 03:00:00,0.281,24.89,0.87,6.69,22.3,0.4,0.7,maturity,0.3,0.28,0.12,-0.3,0
2025-01-01 04:00:00,0.211,21.68,0.5,6.55,26.5,0.7,0.4,flowering,0.3,0.28,0.12,20.8,0
2025-01-01 05:00:00,0.211,19.72,0.85,6.59,21.2,1.1,0.6,flowering,0.3,0.28,0.12,20.8,0
2025-01-01 06:00:00,0.283,27.08,0.7,6.57,18.5,1.0,2.4,vegetative,0.6,0.32,0.14,22.1,0
2025-01-01 07:00:00,0.251,22.94,0.8,6.5,20.5,1.3,0.3,vegetative,0.3,0.28,0.12,8.8,0
2025-01-01 08:00:00,0.201,22.26,0.74,6.73,26.8,1.5,1.8,vegetative,0.3,0.28,0.12,23.6,0
2025-01-01 09:00:00,0.242,25.9,0.73,6.61,31.2,0.1,2.7,flowering,0.6,0.32,0.14,47.0,0
2025-01-01 10:00:00,0.201,20.12,0.76,6.24,31.3,0.2,1.6,vegetative,0.6,0.32,0.14,71.1,1
2025-01-01 11:00:00,0.201,29.84,0.78,6.66,35.9,1.3,0.7,maturity,0.3,0.28,0.12,23.6,0
2025-01-01 12:00:00,0.23,18.06,0.67,6.57,28.5,0.6,0.8,vegetative,0.6,0.32,0.14,54.2,1
2025-01-01 13:00:00,0.143,25.28,0.8,6.68,29.2,0.6,1.7,vegetative,0.3,0.28,0.12,41.0,1
2025-01-01 14:00:00,0.151,29.17,0.59,6.47,26.7,0.6,0.0,vegetative,0.3,0.28,0.12,38.7,1
2025-01-01 15:00:00,0.198,15.11,0.7,6.74,27.0,0.5,1.3,flowering,0.3,0.28,0.12,24.7,1
2025-01-01 16:00:00,0.179,20.28,0.78,6.48,38.4,0.9,0.8,vegetative,0.3,0.28,0.12,30.2,1
2025-01-01 17:00:00,0.233,27.71,0.8,6.72,29.3,0.4,0.5,vegetative,0.6,0.32,0.14,52.5,0
2025-01-01 18:00:00,0.184,27.79,0.75,6.36,29.7,1.0,1.5,flowering,0.3,0.28,0.12,28.9,1
2025-01-01 19:00:00,0.164,21.14,0.66,6.38,22.3,0.2,0.3,maturity,0.3,0.28,0.12,34.9,1
2025-01-01 20:00:00,0.279,18.33,0.79,6.68,30.1,1.4,2.3,flowering,0.6,0.32,0.14,24.8,0
2025-01-01 21:00:00,0.211,26.78,0.63,6.4,31.3,1.5,1.2,flowering,0.6,0.32,0.14,65.4,1
2025-01-01 22:00:00,0.223,27.92,0.88,7.16,33.6,0.9,0.9,flowering,0.3,0.28,0.12,17.2,0
2025-01-01 23:00:00,0.163,16.18,0.69,6.67,31.2,0.5,0.7,flowering,0.6,0.32,0.14,94.2,1
2025-01-02 00:00:00,0.198,15.98,0.55,6.51,27.4,0.0,0.2,vegetative,0.3,0.28,0.12,24.5,1
2025-01-02 01:00:00,0.224,23.13,0.58,6.75,27.2,0.1,1.0,vegetative,0.3,0.28,0.12,16.7,0
2025-01-02 02:00:00,0.174,25.15,0.7,6.36,27.6,0.1,1.3,maturity,0.3,0.28,0.12,31.8,1
2025-01-02 03:00:00,0.235,20.5,0.71,6.78,28.5,0.0,0.0,maturity,0.3,0.28,0.12,13.5,0
2025-01-02 04:00:00,0.196,25.4,0.9,6.77,34.3,1.3,0.5,flowering,0.6,0.32,0.14,74.4,1
2025-01-02 05:00:00,0.208,18.45,0.6,6.88,33.4,3.1,1.8,flowering,0.6,0.32,0.14,67.0,1
2025-01-02 06:00:00,0.196,11.43,0.7,6.37,31.8,0.0,1.0,vegetative,0.6,0.32,0.14,74.4,1
